var_name,var_name_raw,dataset_id,year
BECADAREA,becadareal1ad,BEC_L1AD,9999
BECADCRCTYAVG,becadcrctyavgl1ad,BEC_L1AD,9999
BECADINTDENS,becadintdensl1ad,BEC_L1AD,9999
BECADINTDENS3,becadintdens3l1ad,BEC_L1AD,9999
BECADINTDENS4,becadintdens4l1ad,BEC_L1AD,9999
BECADLRDENS,becadlrdensl1ad,BEC_L1AD,9999
BECADSTTDENS,becadsttdensl1ad,BEC_L1AD,9999
BECADSTTLGAVG,becadsttlgavgl1ad,BEC_L1AD,9999
BECADSTTPNODEAVG,becadsttpnodeavgl1ad,BEC_L1AD,9999
BECADSTTPNODESD,becadsttpnodesdl1ad,BEC_L1AD,9999
BECAERTRAMLNGTH,becaertramlngthl1ad,BEC_L1AD,9999
BECAVGPTCHAREA,becavgptchareal1ad,BEC_L1AD,9999
BECAWAVGPTCHAREA,becawavgptchareal1ad,BEC_L1AD,9999
BECAWEDGDENS,becawedgdensl1ad,BEC_L1AD,9999
BECAWMNNNGH,becawmnnnghl1ad,BEC_L1AD,9999
BECAWMNSHPINDX,becawmnshpindxl1ad,BEC_L1AD,9999
BECBRTLNGTH,becbrtlngthl1ad,BEC_L1AD,9999
BECBRTPRCTRIP,becbrtprctripl1ad,BEC_L1AD,9999
BECBYLANELNGTH,becbylanelngthl1ad,BEC_L1AD,9999
BECCITYAGE,beccityagel1ad,BEC_L1AD,9999
BECCOAST,beccoastl1ad,BEC_L1AD,9999
BECCVPTCHAREA,beccvptchareal1ad,BEC_L1AD,9999
BECCZ,becczl1ad,BEC_L1AD,9999
BECDEMBRT,becdembrtl1ad,BEC_L1AD,9999
BECEDGDENS,becedgdensl1ad,BEC_L1AD,9999
BECEFFMESHSIZE,beceffmeshsizel1ad,BEC_L1AD,9999
BECELEVATIONMAX,becelevationmaxl1ad,BEC_L1AD,9999
BECELEVATIONMEDIAN,becelevationmedianl1ad,BEC_L1AD,9999
BECELEVATIONMIN,becelevationminl1ad,BEC_L1AD,9999
BECELEVATIONP25,becelevationp25l1ad,BEC_L1AD,9999
BECELEVATIONP75,becelevationp75l1ad,BEC_L1AD,9999
BECELEVATIONSTD,becelevationstdl1ad,BEC_L1AD,9999
BECELEVATIOVE,becelevatiovel1ad,BEC_L1AD,9999
BECERRORWP,becerrorwp2010l1ad,BEC_L1AD,2010
BECGASPRICE,becgaspricel1ad,BEC_L1AD,9999
BECGASPRICEADJ,becgaspriceadjl1ad,BEC_L1AD,9999
BECGSAVGPTCHAREA,becgsavgptchareal1ad,BEC_L1AD,9999
BECGSAWAVGPTCHAREA,becgsawavgptchareal1ad,BEC_L1AD,9999
BECGSAWMNNNGH,becgsawmnnnghl1ad,BEC_L1AD,9999
BECGSAWMNSHPINDX,becgsawmnshpindxl1ad,BEC_L1AD,9999
BECGSCLUMP,becgsclumpl1ad,BEC_L1AD,9999
BECGSCOHESION,becgscohesionl1ad,BEC_L1AD,9999
BECGSEDGDENDS,becgsedgdendsl1ad,BEC_L1AD,9999
BECGSMNNNGH,becgsmnnnghl1ad,BEC_L1AD,9999
BECGSMNSHPINDX,becgsmnshpindxl1ad,BEC_L1AD,9999
BECGSNPTCH,becgsnptchl1ad,BEC_L1AD,9999
BECGSPCT,becgspctl1ad,BEC_L1AD,9999
BECGSPTCHDENS,becgsptchdensl1ad,BEC_L1AD,9999
BECMAXNDVINW,becmaxndvinw2000l1ad,BEC_L1AD,2000
BECMAXNDVINW,becmaxndvinw2001l1ad,BEC_L1AD,2001
BECMAXNDVINW,becmaxndvinw2002l1ad,BEC_L1AD,2002
BECMAXNDVINW,becmaxndvinw2003l1ad,BEC_L1AD,2003
BECMAXNDVINW,becmaxndvinw2004l1ad,BEC_L1AD,2004
BECMAXNDVINW,becmaxndvinw2005l1ad,BEC_L1AD,2005
BECMAXNDVINW,becmaxndvinw2006l1ad,BEC_L1AD,2006
BECMAXNDVINW,becmaxndvinw2007l1ad,BEC_L1AD,2007
BECMAXNDVINW,becmaxndvinw2008l1ad,BEC_L1AD,2008
BECMAXNDVINW,becmaxndvinw2009l1ad,BEC_L1AD,2009
BECMAXNDVINW,becmaxndvinw2010l1ad,BEC_L1AD,2010
BECMAXNDVINW,becmaxndvinw2011l1ad,BEC_L1AD,2011
BECMAXNDVINW,becmaxndvinw2012l1ad,BEC_L1AD,2012
BECMAXNDVINW,becmaxndvinw2013l1ad,BEC_L1AD,2013
BECMAXNDVINW,becmaxndvinw2014l1ad,BEC_L1AD,2014
BECMAXNDVINW,becmaxndvinw2015l1ad,BEC_L1AD,2015
BECMAXNDVINW,becmaxndvinw2016l1ad,BEC_L1AD,2016
BECMAXNDVINW,becmaxndvinw2017l1ad,BEC_L1AD,2017
