var_name,var_name_raw,strata_id,strata_1_name,strata_1_raw,strata_1_value,strata_2_name,strata_2_raw,strata_2_value
CNSLABPART,CNSLABPARTL1AD,Sex_Overall,Sex,"",Overall,"","",""
CNSLABPART,CNSLABPART_M_L1AD,Sex_Male,Sex,M,Male,"","",""
CNSLABPART,CNSLABPART_F_L1AD,Sex_Female,Sex,F,Female,"","",""
CNSMINHS,CNSMINHS_L1AD,Sex_Overall,Sex,"",Overall,"","",""
CNSMINHS,CNSMINHSM_L1AD,Sex_Male,Sex,M,Male,"","",""
CNSMINHS,CNSMINHSF_L1AD,Sex_Female,Sex,F,Female,"","",""
CNSMINPR,CNSMINPR_L1AD,Sex_Overall,Sex,"",Overall,"","",""
CNSMINPR,CNSMINPRM_L1AD,Sex_Male,Sex,M,Male,"","",""
CNSMINPR,CNSMINPRF_L1AD,Sex_Female,Sex,F,Female,"","",""
CNSMINUN,CNSMINUN_L1AD,Sex_Overall,Sex,"",Overall,"","",""
CNSMINUN,CNSMINUNM_L1AD,Sex_Male,Sex,M,Male,"","",""
CNSMINUN,CNSMINUNF_L1AD,Sex_Female,Sex,F,Female,"","",""
CNSST,CNSST1517L1AD,Sex_Overall,Sex,"",Overall,"","",""
CNSST,CNSST1517ML1AD,Sex_Male,Sex,M,Male,"","",""
CNSST,CNSST1517FL1AD,Sex_Female,Sex,F,Female,"","",""
CNSUNEMP,CNSUNEMPL1AD,Sex_Overall,Sex,"",Overall,"","",""
CNSUNEMP,CNSUNEMPL_M_L1AD,Sex_Male,Sex,M,Male,"","",""
CNSUNEMP,CNSUNEMPL_F_L1AD,Sex_Female,Sex,F,Female,"","",""
CNSCROWD25BR,CNSCROWD25BRL1AD,"","","","","","",""
CNSCROWD3RM,CNSCROWD3RML1AD,"","","","","","",""
CNSEMPRAT,CNSEMPRATL1AD,"","","","","","",""
CNSFLOOR,CNSFLOORL1AD,"","","","","","",""
CNSHSEDRAT,CNSHSEDRATL1AD,"","","","","","",""
CNSLABFEM,CNSLABFEML1AD,"","","","","","",""
CNSLABRAT,CNSLABRATL1AD,"","","","","","",""
CNSSEWANY,CNSSEWANYL1AD,"","","","","","",""
CNSSEWNET,CNSSEWNETL1AD,"","","","","","",""
CNSSTRAT,CNSST1517RATL1AD,"","","","","","",""
CNSWALLDUR1,CNSWALLDUR1L1AD,"","","","","","",""
CNSWALLDUR2,CNSWALLDUR2L1AD,"","","","","","",""
CNSWALLDUR3,CNSWALLDUR3L1AD,"","","","","","",""
CNSWATIN,CNSWATINL1AD,"","","","","","",""
CNSWATNET,CNSWATNETL1AD,"","","","","","",""
CNSWATPIPE,CNSWATPIPEL1AD,"","","","","","",""
